,ID,Test No,TB,Tem.,Inj. Back pressure,Cylinder,PumpType        (eg:CB18-16),No. of Plunger,No. of Lobe,Devolume ,Ratio,Plunger lift_mm,Injector  Type,Needle Lift,Armature lift,Nozzle Flow Rate_ cm3/30s@100bar,holes Num.,K/ks,DSP,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",ECU Type,HPP P2R_Length,HPP P2R_ID,HPP P2R_OD,HPP R2I_Length,HPP R2I_ID,HPP R2I_OD,Unnamed: 31,Unnamed: 32,Pump type,Plunger Num.,Cam lobes,Plunger lift_mm.1,Geometrical fuel delivery:mm3/rev
,190.0,2013/089,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,725.0,8.0,K=1,0.177,HFRN-18,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,524.0,3.6,8.0,,,,,,,
,191.0,2013/089,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,725.0,7.0,K=0.5,0.174,HFRN-18,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,524.0,3.6,8.0,,,,,,,
,192.0,2013/087,H1907,40.0,50.0,4.0,CB18-16,2.0,2.0,1018.0, 1/2,9.0,CRI1-16,0.85,,377.0,6.0,k=0,0.1536,HFR,17.36,no,no,w/o PCV&PLV,EDC17C04_6.90,254.0,3.0,6.35,268.0,3.0,6.35,,,,,,,
,193.0,2013/084,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,600.0,8.0,zs=0.5,0.1518,HFR,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,300.0,3.6,8.0,,,,,,,
,194.0,2013/080,H1907,40.0,50.0,4.0,CB18-16,2.0,2.0,1018.0, 1/2,9.0,CRI1-16,0.85,,325.0,6.0,K=0,0.1402,HFR,17.4,no,no,w/o PCV&PLV,EDC17C53-1.10,302.0,3.0,6.35,245.0,3.0,6.35,,,,,,,
,195.0,2013/076,H1902,40.0,50.0,6.0,CPN2-18,2.0,3.0,4524.0, 1/2,15.0,CRIN3-18,0.3,,750.0,8.0,Zs0.5,0.1697,HFR,32.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,582.5,3.6,8.0,298.5,3.6,8.0,,,,,,,
,196.0,2013/076,H1902,40.0,50.0,6.0,CPN2-18,2.0,3.0,4524.0, 1/2,15.0,CRIN3-18,0.3,,700.0,8.0,Zs0.5,0.164,HFR,32.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,582.5,3.6,8.0,298.5,3.6,8.0,,,,,,,
,197.0,2013/076,H1902,40.0,50.0,6.0,CPN2-18,2.0,3.0,4524.0, 1/2,15.0,CRIN3-18,0.3,,750.0,8.0,Zs0.5,0.17,HFR,32.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,582.5,3.6,8.0,298.5,3.6,8.0,,,,,,,
,198.0,2013/073,H1906,40.0,50.0,4.0,CP3.3N-18,3.0,1.0,1087.0, 3/2,8.2,CRIN3-18,0.3,,670.0,8.0,Zs0.5,0.1555,HFR,22.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,282.0,3.5,8.0,227.0,3.5,8.0,,,,,,,
,199.0,2013/073,H1906,40.0,50.0,4.0,CP3.3N-18,3.0,1.0,1087.0, 3/2,8.2,CRIN3-18,0.3,,630.0,8.0,Zs0.5,0.1604,HFR,22.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,282.0,3.5,8.0,227.0,3.5,8.0,,,,,,,
,200.0,2013/073,H1906,40.0,50.0,4.0,CP3.3N-18,3.0,1.0,1087.0, 3/2,8.2,CRIN3-18,0.3,,670.0,8.0,Zs0.5,0.1664,HFR,22.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,282.0,3.5,8.0,227.0,3.5,8.0,,,,,,,
,201.0,2013/073,H1906,40.0,50.0,4.0,CP3.3N-18,3.0,1.0,1087.0, 3/2,8.2,CRIN3-18,0.3,,720.0,8.0,Zs0.5,0.1719,HFR,22.0,1.2,1.2,w/ PCV,EDC17CV44-5.03,282.0,3.5,8.0,227.0,3.5,8.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
