3injectors,17,794,,Injector:O445B29762_00,,,,,,,,,,,,,,,
,427,2.27,2.89,4.42,5.73,6.90,8.08,9.01,10.15,11.67,12.41,14.23,14.62,16.83,18.39,20.50,19.51,23.29,
,430,2.25,2.98,4.52,5.92,7.11,8.27,9.38,10.60,11.96,13.07,14.54,15.08,17.37,19.15,21.66,20.84,25.98,
,433,2.33,3.04,4.61,6.16,7.22,8.56,9.59,10.89,12.35,13.43,14.70,15.36,17.78,19.63,21.52,21.41,24.52,
,436,2.32,3.11,4.73,6.30,7.42,8.89,9.98,11.34,12.60,13.49,15.34,16.33,18.33,20.39,22.24,23.12,25.90,
,439,2.43,3.19,4.85,6.37,7.66,8.96,10.20,11.61,12.84,13.86,15.60,16.51,18.94,20.55,22.78,24.51,26.38,
,442,2.47,3.34,5.07,6.63,7.78,9.35,10.30,11.93,13.20,14.31,15.97,17.12,19.26,21.11,23.32,24.39,26.61,
,445,2.55,3.39,5.19,6.82,8.06,9.51,10.89,12.13,13.58,14.71,16.40,17.72,19.56,21.45,23.54,24.92,25.71,
,448,2.62,3.45,5.40,6.96,8.35,9.99,11.13,12.56,14.14,14.95,16.62,17.99,20.46,22.16,23.98,25.13,27.49,
,451,2.69,3.60,5.50,7.12,8.52,10.12,11.32,12.91,14.36,14.98,16.64,18.58,20.47,22.16,23.73,26.14,27.19,
,454,2.76,3.70,5.62,7.36,8.79,10.40,11.60,13.11,14.51,15.38,16.95,19.20,21.01,22.67,23.98,25.87,27.25,
,457,2.87,3.78,5.77,7.55,8.90,10.52,11.68,13.29,14.59,15.39,17.40,19.27,21.44,22.84,24.17,26.91,28.23,
,460,3.01,3.89,5.92,7.69,9.15,10.84,12.02,13.50,14.68,15.75,17.37,19.33,21.16,22.89,24.70,26.84,28.73,
,463,3.10,4.01,6.14,7.94,9.36,10.95,12.13,13.68,14.83,15.96,17.38,19.63,21.62,23.11,24.93,26.82,28.85,
